# 气象站 北京, 中国, WMO_ID=54511，选择从 01.01.2022 至 21.07.2022, 所有日期
# 编码: UTF-8
# 数据由web站点“Reliable Prognosis”提供，rp5.ru
# 使用数据时，请自觉指出网站名称
# 气象参数代码见地址 http://rp5.ru/archive.php?wmo_id=54511&lang=cn
#
"当地时间 北京";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.07.2022 14:00";"32.0";"751.4";"754.3";"";"49";"从西南方吹来的风";"2";"";"5";"";" ";"";"";"22.4";"32.2";"";"";"";"";"";"13.0";"19.9";"无降水";"6";"";"";"";"";
"21.07.2022 11:00";"30.0";"752.4";"755.3";"";"56";"无风";"0";"";"";"";" ";"";"";"22.4";"32.0";"";"";"";"";"";"8.0";"20.3";"无降水";"6";"";"";"";"";
"21.07.2022 08:00";"26.5";"752.3";"755.2";"";"71";"从东方吹来的风";"1";"";"7";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"22.4";"32.0";"";"";"";"";"";"7.0";"20.8";"无降水";"6";"";"";"";"";
"21.07.2022 05:00";"22.8";"751.2";"754.1";"";"88";"从东北方吹来的风";"1";"";"8";"";" ";"";"";"22.5";"32.0";"";"";"";"";"";"12.0";"20.7";"无降水";"6";"";"";"";"";
"21.07.2022 02:00";"24.2";"750.7";"753.6";"";"72";"从南方吹来的风";"1";"";"8";"";" ";"";"";"24.2";"32.0";"";"";"2500或更高，或无云。";"";"";"21.0";"18.8";"无降水";"6";"";"";"";"";
"20.07.2022 23:00";"26.1";"750.7";"753.7";"";"61";"从东南偏南方向吹来的风";"2";"";"";"";" ";"";"";"24.7";"32.0";"";"";"1500-2000";"";"";"21.0";"18.0";"无降水";"6";"";"";"";"";
"20.07.2022 20:00";"28.0";"749.4";"752.3";"";"55";"从南方吹来的风";"4";"";"8";"";" ";"";"";"24.7";"32.0";"";"";"";"";"";"27.0";"18.1";"无降水";"6";"";"";"";"";
"20.07.2022 17:00";"31.2";"748.6";"751.6";"";"45";"从西南偏南方向吹来的风";"4";"";"8";"";" ";"";"";"24.7";"32.0";"";"";"";"";"";"21.0";"17.9";"无降水";"6";"";"";"";"";
"20.07.2022 14:00";"31.6";"749.4";"752.2";"-1.0";"44";"从西南偏南方向吹来的风";"4";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"24.7";"32.3";"";"";"2500或更高，或无云。";"";"";"30.0";"17.9";"无降水";"12";"";"";"";"";
"20.07.2022 11:00";"29.7";"750.4";"753.3";"0.1";"50";"从西南方吹来的风";"4";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"24.7";"32.5";"";"";"2500或更高，或无云。";"";"";"20.0";"18.2";"无降水";"12";"";"";"";"";
"20.07.2022 08:00";"26.5";"750.3";"753.2";"0.9";"84";"从西南方吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"24.7";"32.5";"";"";"1000-1500";"";"";"7.0";"23.6";"无降水";"12";"";"";"";"";
"20.07.2022 05:00";"25.2";"749.4";"752.3";"0.2";"87";"从南方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"21.7";"32.5";"";"";"2500或更高，或无云。";"";"";"7.0";"22.9";"无降水";"12";"";"";"";"";
"20.07.2022 02:00";"26.3";"749.2";"752.0";"0.2";"82";"从西南偏南方向吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.7";"32.5";"";"";"2500或更高，或无云。";"";"";"9.0";"23.0";"无降水";"12";"";"";"";"";
"19.07.2022 23:00";"28.1";"749.0";"751.9";"0.5";"77";"从南方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"21.7";"32.5";"";"";"2500或更高，或无云。";"";"";"9.0";"23.7";"无降水";"12";"";"";"";"";
"19.07.2022 20:00";"29.1";"748.5";"751.4";"0.5";"58";"从西南方吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.7";"32.5";"";"";"2500或更高，或无云。";"";"";"19.0";"20.0";"无降水";"12";"";"";"";"";
"19.07.2022 17:00";"31.4";"748.0";"750.9";"-0.3";"56";"从西南偏南方向吹来的风";"3";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.7";"33.6";"";"";"2500或更高，或无云。";"";"";"9.0";"21.6";"无降水";"12";"";"";"";"";
"19.07.2022 14:00";"32.3";"748.3";"751.2";"-0.5";"39";"从西南偏南方向吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.7";"35.7";"";"";"2500或更高，或无云。";"";"";"24.0";"16.6";"无降水";"12";"";"";"";"";
"19.07.2022 11:00";"30.8";"748.8";"751.7";"0.0";"48";"从东北偏东方向吹来的风";"1";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.7";"35.7";"";"";"2500或更高，或无云。";"";"";"14.0";"18.5";"无降水";"12";"";"";"";"";
"19.07.2022 08:00";"27.3";"748.8";"751.6";"0.5";"62";"从东北方吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.7";"35.7";"";"";"2500或更高，或无云。";"";"";"19.0";"19.4";"无降水";"12";"";"";"";"";
